epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0519,1.60155,6.615,1.45759,0.2,0.01869,0.10838,0.08679,1.20486,5.50088,1.10401,0.0805536,0.000196429,0.000196429
2,47.6952,1.13511,3.81198,1.06594,0.4848,0.76556,0.47437,0.36906,1.00203,3.36024,1.01917,0.0607404,0.000383216,0.000383216
3,70.4849,1.14683,3.66166,1.08352,0.47539,0.55943,0.41304,0.32581,1.00442,3.91674,1.03898,0.0409138,0.000556671,0.000556671
4,93.3636,1.14494,3.52137,1.07723,0.43896,0.39376,0.33463,0.25789,1.0193,3.91337,1.02633,0.0210739,0.000716794,0.000716794
5,115.669,1.08546,3.46401,1.05618,0.44685,0.6058,0.37803,0.29065,1.01302,3.63313,1.0359,0.00122073,0.000863585,0.000863585
6,138.305,1.11857,3.51364,1.07569,0.48861,0.68118,0.43344,0.3346,0.9539,3.46822,1.01921,0.00083335,0.00083335,0.00083335
7,160.793,1.06103,3.39537,1.04387,0.44667,0.5268,0.34066,0.2609,1.02721,4.1854,1.03644,0.00080002,0.00080002,0.00080002
8,183.221,1.06391,3.29426,1.06566,0.44701,0.67263,0.38319,0.27715,1.01564,4.4734,1.06825,0.00076669,0.00076669,0.00076669
9,205.915,1.01991,3.10657,1.04459,0.38509,0.49974,0.30755,0.24607,1.01889,5.18135,1.07053,0.00073336,0.00073336,0.00073336
10,228.156,1.06229,3.10123,1.06062,0.48486,0.56921,0.41019,0.3,1.03405,4.189,1.06292,0.00070003,0.00070003,0.00070003
11,250.617,1.00847,2.91451,1.03917,0.47776,0.51984,0.43361,0.31419,1.06468,3.67363,1.10233,0.0006667,0.0006667,0.0006667
12,272.853,1.04711,3.00389,1.0646,0.50139,0.61488,0.46499,0.35696,0.96615,3.40952,1.06566,0.00063337,0.00063337,0.00063337
13,295.292,1.01241,3.02916,1.06011,0.48374,0.64874,0.41396,0.32121,0.97628,3.8858,1.06628,0.00060004,0.00060004,0.00060004
14,318.332,1.01955,3.02657,1.06137,0.42983,0.57732,0.37083,0.28089,0.98966,3.68392,1.06754,0.00056671,0.00056671,0.00056671
15,340.986,0.98795,2.93474,1.03676,0.48196,0.60021,0.40124,0.30362,0.93439,3.77081,1.03581,0.00053338,0.00053338,0.00053338
16,363.916,0.97288,2.7384,1.03427,0.45614,0.49383,0.35468,0.28016,0.99377,4.39853,1.06277,0.00050005,0.00050005,0.00050005
17,386.913,0.95628,2.82045,1.02699,0.45969,0.58279,0.3759,0.29058,0.97996,4.0206,1.06723,0.00046672,0.00046672,0.00046672
18,409.965,0.975,2.73152,1.04456,0.46062,0.55872,0.38879,0.30418,0.9575,3.74623,1.05003,0.00043339,0.00043339,0.00043339
19,432.69,0.93043,2.69827,1.01628,0.53799,0.78946,0.53662,0.41027,0.97787,3.44465,1.05385,0.00040006,0.00040006,0.00040006
20,455.699,0.9566,2.6145,1.01853,0.48141,0.6766,0.48371,0.38182,0.96673,3.52932,1.0683,0.00036673,0.00036673,0.00036673
21,478.882,0.8749,2.45386,0.99634,0.54104,0.60686,0.4781,0.38721,0.93066,4.07984,1.04223,0.0003334,0.0003334,0.0003334
22,501.803,0.86616,2.26984,0.98422,0.48807,0.61189,0.41754,0.33087,0.94399,4.49459,1.03144,0.00030007,0.00030007,0.00030007
23,524.479,0.83951,2.19132,0.96981,0.52821,0.66743,0.54779,0.42755,0.96554,3.59446,1.05604,0.00026674,0.00026674,0.00026674
24,547.224,0.84484,2.2744,0.97593,0.49977,0.66708,0.47634,0.37455,0.96864,3.67647,1.0511,0.00023341,0.00023341,0.00023341
25,570.018,0.81241,2.07766,0.97533,0.55835,0.64856,0.5243,0.41604,0.96055,3.6683,1.06738,0.00020008,0.00020008,0.00020008
26,593.222,0.81236,1.95544,0.96213,0.54403,0.69952,0.54994,0.42228,0.91307,3.39864,1.04335,0.00016675,0.00016675,0.00016675
27,615.797,0.79488,1.90833,0.97425,0.54539,0.66761,0.54005,0.4297,0.93361,3.75058,1.0563,0.00013342,0.00013342,0.00013342
28,638.985,0.80183,1.85381,0.97115,0.54876,0.70975,0.56608,0.45533,0.91742,3.66373,1.0508,0.00010009,0.00010009,0.00010009
29,661.554,0.79806,1.80265,0.96814,0.47913,0.63446,0.4495,0.35791,0.9451,4.01088,1.06425,6.676e-05,6.676e-05,6.676e-05
30,684.092,0.78918,1.73636,0.96769,0.54272,0.62546,0.5,0.402,0.92826,4.18335,1.0514,3.343e-05,3.343e-05,3.343e-05
